year,avg_duration_ms
2017,208448.6357615894
2016,214031.67073170733
2015,219211.60459183675
2014,220560.06925207755
2013,229261.38684210528
2012,227541.38567493114
2011,219296.11410788383
2010,220825.25316455695
2009,215780.85314685316
2008,226063.03406326033
2007,213695.15714285715
2006,222194.7786885246
2005,233826.36046511628
2004,233136.89108910892
2003,230878.4006514658
2002,232598.85666666666
2001,225396.05208333334
2000,232533.06329113923
1999,234558.06129032257
1998,220820.38873239438
1997,235574.23241590214
1996,231798.84539473685
1995,229293.2084592145
1994,228937.1364985163
1993,249132.82647058825
1992,257932.65363128492
1991,244484.36842105264
1990,245498.82180851063
1989,244829.0077922078
1988,234465.07105263157
1987,237747.8527131783
1986,248626.50379746835
1985,245600.11138613863
1984,227902.83294663572
1983,229033.81363636363
1982,218676.92990654206
1981,220915.13902439026
1980,154760.64666666667
1979,19385.923395445134
1978,216808.7120181406
1977,205842.55246252677
1976,208467.6551724138
1975,192036.99820143884
1974,208694.88461538462
1973,199945.05148514852
1972,191154.69125214408
1971,173957.26633986927
1970,155443.1503164557
1969,168077.92180451128
1968,155258.78761061947
