year,avg_tempo
2017,119.66874613686534
2016,115.02548780487813
2015,122.59076785714284
2014,121.84600277008296
2013,120.87651842105272
2012,121.86921763085397
2011,121.39094398340255
2010,116.66997468354427
2009,119.06815850815859
2008,118.83560340632594
2007,113.97744857142857
2006,117.0527978142077
2005,117.7411976744187
2004,116.3921287128712
2003,110.59470032573289
2002,112.87911666666669
2001,106.59506249999998
2000,110.40170569620246
1999,109.30852903225802
1998,102.49285633802813
1997,105.68986850152903
1996,100.9732203947368
1995,102.41011782477335
1994,105.09866468842735
1993,108.35714999999998
1992,108.72001675977657
1991,106.5424052631579
1990,106.97297340425534
1989,109.73128831168833
1988,107.38069210526304
1987,108.86415762273901
1986,111.70021518987338
1985,113.62916831683167
1984,105.8143132250581
1983,115.25106136363642
1982,106.79694158878503
1981,108.27856829268299
1980,75.22609777777781
1979,7.822035196687369
1978,100.2559727891157
1977,100.09135546038539
1976,101.39675670498087
1975,95.37597661870501
1974,106.61758299595138
1973,104.69168316831679
1972,102.56466552315597
1971,95.4933316993463
1970,90.94850949367087
1969,103.36709323308268
1968,101.59282448377581
