year,avg_time_signature
2017,3.8675496688741724
2016,3.795121951219512
2015,3.8903061224489797
2014,3.903047091412742
2013,3.860526315789474
2012,3.9201101928374658
2011,3.8568464730290457
2010,3.761603375527426
2009,3.7365967365967365
2008,3.8150851581508514
2007,3.64
2006,3.797814207650273
2005,3.877906976744186
2004,3.8481848184818483
2003,3.758957654723127
2002,3.783333333333333
2001,3.6770833333333335
2000,3.7626582278481013
1999,3.793548387096774
1998,3.4873239436619716
1997,3.5902140672782874
1996,3.473684210526316
1995,3.4803625377643503
1994,3.507418397626113
1993,3.6176470588235294
1992,3.5977653631284916
1991,3.581578947368421
1990,3.5797872340425534
1989,3.677922077922078
1988,3.5526315789473686
1987,3.599483204134367
1986,3.7367088607594936
1985,3.707920792079208
1984,3.4593967517401394
1983,3.606818181818182
1982,3.5093457943925235
1981,3.5390243902439025
1980,2.471111111111111
1979,0.2525879917184265
1978,3.2947845804988662
1977,3.2869379014989293
1976,3.3026819923371646
1975,3.1402877697841727
1974,3.5506072874493926
1973,3.4
1972,3.360205831903945
1971,3.1715686274509802
1970,2.9794303797468356
1969,3.3669172932330826
1968,3.3053097345132745
