year,avg_duration_ms
2017,219188.9642857143
2016,223692.53333333333
2015,217145.28
2014,221870.66666666666
2013,238297.27586206896
2012,218389.9642857143
2011,227701.93333333332
2010,215891.76923076922
2009,224717.08333333334
2008,235181.27777777778
2007,241540.57575757575
2006,233323.77777777778
2005,235583.87878787878
2004,251001.36111111112
2003,253285.39393939395
2002,245983.38888888888
2001,247368.7105263158
2000,237318.88888888888
1999,250186.65853658537
1998,261528.6
1997,248913.16129032258
1996,248752.39285714287
1995,246171.38888888888
1994,239349.9090909091
1993,263397.84375
1992,267313.54285714286
1991,252184.24137931035
1990,270970.8461538461
1989,268475.9142857143
1988,257832.6447368421
1987,254623.3661971831
1986,256246.9714285714
1985,265116.86363636365
1984,251195.3220338983
1983,254046.12
1982,232183.95454545456
1981,228904.97959183675
1980,215415.1224489796
1979,4325.490196078431
1978,206428.0652173913
1977,212986.72727272726
1976,229223.91379310345
1975,232187.74324324325
1974,213475.73333333334
1973,226048.828125
1972,210790.359375
1971,189842.1090909091
1970,164773.1896551724
1969,193835.7068965517
1968,185145.05
