year,avg_streak
2017,29.428571428571427
2016,34.53333333333333
2015,38.72
2014,36.44444444444444
2013,35.55172413793103
2012,36.642857142857146
2011,34.0
2010,29.128205128205128
2009,30.5
2008,30.666666666666668
2007,29.424242424242426
2006,27.27777777777778
2005,28.515151515151516
2004,28.61111111111111
2003,27.03030303030303
2002,26.333333333333332
2001,30.210526315789473
2000,28.916666666666668
1999,26.634146341463413
1998,25.1
1997,31.35483870967742
1996,32.0
1995,28.833333333333332
1994,28.696969696969695
1993,25.90625
1992,24.97142857142857
1991,20.517241379310345
1990,21.43076923076923
1989,20.014285714285716
1988,20.82894736842105
1987,19.802816901408452
1986,19.985714285714284
1985,20.424242424242426
1984,21.610169491525422
1983,21.44
1982,22.227272727272727
1981,22.408163265306122
1980,22.46938775510204
1979,20.529411764705884
1978,21.130434782608695
1977,22.254545454545454
1976,21.32758620689655
1975,17.62162162162162
1974,17.266666666666666
1973,17.984375
1972,15.734375
1971,15.0
1970,15.189655172413794
1969,14.344827586206897
1968,14.333333333333334
