year,avg_time_signature
2017,3.9642857142857144
2016,3.966666666666667
2015,3.96
2014,4.0
2013,4.0
2012,4.0
2011,3.7666666666666666
2010,3.717948717948718
2009,3.6666666666666665
2008,3.9722222222222223
2007,3.9696969696969697
2006,3.8055555555555554
2005,4.0
2004,4.0
2003,3.9696969696969697
2002,3.861111111111111
2001,3.973684210526316
2000,3.7777777777777777
1999,4.0
1998,3.775
1997,3.870967741935484
1996,3.5714285714285716
1995,3.6944444444444446
1994,3.696969696969697
1993,3.8125
1992,3.857142857142857
1991,3.8620689655172415
1990,3.8923076923076922
1989,3.914285714285714
1988,3.8157894736842106
1987,3.8732394366197185
1986,3.9857142857142858
1985,3.984848484848485
1984,3.8813559322033897
1983,3.82
1982,3.7954545454545454
1981,3.795918367346939
1980,3.510204081632653
1979,0.058823529411764705
1978,3.239130434782609
1977,3.618181818181818
1976,3.7758620689655173
1975,3.635135135135135
1974,3.7066666666666666
1973,3.90625
1972,3.859375
1971,3.6363636363636362
1970,3.2241379310344827
1969,3.8620689655172415
1968,3.8
