pos,title,artist,last_pos,peak_pos,streak
1,Hey Ya!,OutKast,1,1,10
2,The Way You Move,OutKast Featuring Sleepy Brown,3,2,13
3,Stand Up,Ludacris Featuring Shawnna,2,1,16
4,Milkshake,Kelis,4,4,12
5,Here Without You,3 Doors Down,7,5,17
6,Walked Outta Heaven,Jagged Edge,10,6,16
7,Suga Suga,Baby Bash Featuring Frankie J,8,7,18
8,Holidae In,Chingy Featuring Ludacris & Snoop Dogg,6,3,14
9,You Don't Know My Name,Alicia Keys,14,9,6
10,Step In The Name Of Love,R. Kelly,9,9,18
11,Baby Boy,Beyonce Featuring Sean Paul,5,1,19
12,Damn!,YoungBloodZ Featuring Lil Jon,11,4,20
13,Change Clothes,JAY-Z,15,13,6
14,Get Low,Lil Jon & The East Side Boyz Featuring Ying Yang Twins,12,2,34
15,Stunt 101,G Unit,13,13,8
16,It's My Life,No Doubt,16,16,8
17,Wat Da Hook Gon Be,Murphy Lee Featuring Jermaine Dupri,17,17,11
18,Someday,Nickelback,19,18,18
19,Runnin (Dying To Live),Tupac Featuring The Notorious B.I.G.,20,19,10
20,Read Your Mind,Avant,21,20,12
21,Why Don't You & I,Santana Featuring Alex Band Or Chad Kroeger,18,8,22
22,"Me, Myself And I",Beyonce,28,22,6
23,Headstrong,Trapt,22,16,35
24,Perfect,Simple Plan,31,24,8
25,Bright Lights,matchbox twenty,23,23,13
26,Slow Jamz,Twista Featuring Kanye West & Jamie Foxx,46,26,3
27,So Far Away,Staind,26,24,21
28,White Flag, Dido,32,28,14
29,Right Thurr,Chingy,25,2,32
30,(There's Gotta Be) More To Life,Stacie Orrico,30,30,14
31,Numb,Linkin Park,35,31,7
32,Why Can't I?,Liz Phair,34,32,14
33,Harder To Breathe,Maroon 5,24,18,18
34,There Goes My Life,Kenny Chesney,38,34,7
35,Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee",27,1,26
36,I Love This Bar,Toby Keith,33,26,16
37,The First Cut Is The Deepest,Sheryl Crow,37,37,9
38,Cowboys Like Us,George Strait,39,38,12
39,Breathe,Michelle Branch,36,36,7
40,The Voice Within,Christina Aguilera,44,40,4
41,Gigolo,Nick Cannon Featuring R. Kelly,47,41,6
42,You Can't Take The Honky Tonk Out Of The Girl,Brooks & Dunn,49,42,7
43,Invisible,Clay Aiken,43,43,5
44,Rain On Me,Ashanti,29,7,17
45,Salt Shaker,Ying Yang Twins Featuring Lil Jon & The East Side Boyz,59,45,6
46,Unwell,matchbox twenty,40,5,40
47,Remember When,Alan Jackson,61,47,2
48,Hell Yeah,Montgomery Gentry,45,45,8
49,Not Today,Mary J. Blige Featuring Eve,67,49,2
50,Stacy's Mom,Fountains Of Wayne,41,21,11
51,Fallen,Sarah McLachlan,52,51,9
52,Through The Wire,Kanye West,74,52,4
53,Chicks Dig It,Chris Cagle,57,53,8
54,Forthenight,Musiq,66,54,7
55,More & More,Joe,48,48,5
56,Fallen,Mya,56,56,4
57,I Melt,Rascal Flatts ,42,34,18
58,My Baby,Bow Wow Featuring Jagged Edge,71,58,3
59,Pass That Dutch,Missy Elliott,53,27,10
60,(I Hate) Everything About You,Three Days Grace,63,60,4
61,Walking In Memphis,Lonestar,62,61,7
62,Gangsta Nation,Westside Connection Featuring Nate Dogg,72,62,3
63,Wave On Wave,Pat Green,50,39,17
64,Honesty (Write Me A List),Rodney Atkins,64,64,12
65,Who Wouldn't Wanna Be Me,Keith Urban,60,30,19
66,Drinkin' Bone,Tracy Byrd,68,66,4
67,She's Not Just A Pretty Face,Shania Twain,69,67,3
68,I Wanna Do It All,Terri Clark,70,68,2
69,"Can't Stop, Won't Stop",Young Gunz,58,14,20
70,Clubbin,Marques Houston Featuring Joe Budden & Pied Piper,54,39,16
71,Watch The Wind Blow By,Tim McGraw,75,71,2
72,Away From Me,Puddle Of Mudd,73,72,5
73,Are You Gonna Be My Girl,Jet,-1,73,1
74,Hit That,The Offspring,-1,74,1
75,Clap Back,Ja Rule,55,44,9
76,Little Moments,Brad Paisley,-1,76,1
77,F**k It (I Don't Want You Back),Eamon,85,77,3
78,Me Against The Music,Britney Spears Featuring Madonna,51,35,9
79,Tough Little Boys,Gary Allan,76,32,18
80,Bigger Than My Body,John Mayer,79,33,17
81,Still Frame,Trapt,80,69,6
82,Hotel,Cassidy Featuring R. Kelly,-1,82,1
83,Weak And Powerless,A Perfect Circle,81,61,13
84,Love You More,Ginuwine,78,78,8
85,Pop That Booty,"Marques Houston Featuring Jermaine ""JD"" Dupri",97,85,2
86,Another Postcard (Chimps),Barenaked Ladies,82,82,10
87,Show Me How To Live,Audioslave,90,67,19
88,Knock Knock,Monica,77,75,13
89,Heaven,Live,86,59,17
90,Amazing,Josh Kelley,88,79,20
91,Badaboom,B2K Featuring Fabolous,-1,91,1
92,Shake That Monkey,Too Short Featuring Lil Jon & The East Side Boyz,95,92,5
93,I Can't Take You Anywhere,Scotty Emerick With Toby Keith ,91,91,5
94,Long Black Train,Josh Turner,96,94,2
95,So Yesterday,Hilary Duff,87,42,19
96,Take Me Away,Fefe Dobson,89,87,6
97,Bad Boy This Bad Boy That,Bad Boy's Da Band,84,50,9
98,One More Chance,Michael Jackson,83,83,3
99,Neva Eva,Trillville,-1,99,1
100,This One's For The Girls,Martina McBride,93,39,20
