id,title,artist,query,spotify_id,peak_pos,peak_week,streak
fa49a01710b4361c2059f495849e0642,God's Plan,Drake,artist:drake track:god's plan,2XW4DbS6NddZxRPm5rMCeY,1,2018-02-03,1
49291a07f72abaa89b9d3c79aa2efa10,Perfect,Ed Sheeran,artist:ed track:perfect,0tgVpDi06FyKpA1z0VMD4v,1,2017-12-23,22
7e78772ae73816be5ef01b9f5d5a337e,Havana,Camila Cabello Featuring Young Thug,artist:camila track:havana,1rfofaqEpACxVEHIZBJe6W,1,2018-01-27,24
ff6c3c8796d602897fd02b5effa6c043,Rockstar,Post Malone Featuring 21 Savage,artist:post track:rockstar,1OmcAT5Y8eg5bUPv9qJT4R,1,2017-10-28,19
669550eaebc79e80babf627c55046ca0,Finesse,Bruno Mars & Cardi B,artist:bruno track:finesse,3Vo4wInECJQuz9BIBMOu8i,3,2018-01-20,4
493a45dcf0fab71f110786e4c6353626,Bad At Love,Halsey,artist:halsey track:bad at love,7y9iMe8SOB6z3NoHE2OfXl,5,2018-01-27,21
7a8e6697cce6045a8379d9d33906a554,Diplomatic Immunity,Drake,artist:drake track:diplomatic immunity,5goGDc74vVREyN8al8CkPh,7,2018-02-03,1
af15d50d48c35a8899e4be1428ab5863,New Rules,Dua Lipa,artist:dua track:new rules,2ekn2ttSfGqwhhate0LSR0,8,2018-01-27,26
cf6195dfb7632548ecf72f8ef674725e,Thunder,Imagine Dragons,artist:imagine track:thunder,5VnDkUNyX6u5Sk0yZiP8XB,4,2017-12-02,39
d003748d0e92761b4ce1bad331121eca,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,artist:g-eazy track:no limit,2Xqd0wUttjueBfdcltADOv,4,2018-01-06,20
982d05bdc5ddbfa7a46acfd2bedfed38,MotorSport,"Migos, Nicki Minaj & Cardi B","artist:migos, track:motorsport",1YZfcVLbbJwfizR5cDOp3q,6,2017-12-30,13
cb9340f149f405e7b7ac99fb5cbc7eb2,Meant To Be,Bebe Rexha & Florida Georgia Line,artist:bebe track:meant to be,7iDa6hUg2VgEL1o1HjmfBn,12,2018-02-03,14
075df0973bdf820091d1d71629ae5e93,Too Good At Goodbyes,Sam Smith,artist:sam track:too good at goodbyes,3VlbOrM6nYPprVvzBZllE5,4,2017-11-25,20
892406cb03704307aff8fd52437b49b0,Let You Down,NF,artist:nf track:let you down,52okn5MNA47tk87PeZJLEL,14,2018-01-27,15
0d793ea1a9088b35080898f954719dd4,Love.,Kendrick Lamar Featuring Zacari,artist:kendrick track:love.,6PGoSes0D9eUDeeAafB2As,11,2018-01-06,31
7b599c67f5cfcdbc7fd17a816584e0e9,Him & I,G-Eazy & Halsey,artist:g-eazy track:him & i,3YU6vJbjYUG0tiJyXf9x5V,15,2018-01-06,8
4dd9466bd8e32948eb92f499c83a3a22,Gucci Gang,Lil Pump,artist:lil track:gucci gang,43ZyHQITOjhciSUUNPVRHc,3,2017-12-02,20
e2b5dd74c7ed52fee02633f2e0f1a845,Gummo,6ix9ine,artist:6ix9ine track:gummo,2vjmyyAnDUzilFYxOlTdO1,12,2017-12-30,11
385fbe79286bbe70db9a2231a0c56d3f,I Fall Apart,Post Malone,artist:post track:i fall apart,75ZvA4QfFiZvzhj2xkaWAh,16,2018-01-06,18
6d9c7e48fcbcbc322dca7db479f03cdf,Bartier Cardi,Cardi B Featuring 21 Savage,artist:cardi track:bartier cardi,75FDPwaULRdYDn4StFN2rT,14,2018-01-06,5
a261bd3dbe11264f0846b0d5ac4cc632,How Long,Charlie Puth,artist:charlie track:how long,32DGGj6KlNuBr6WaqRxpxi,21,2018-02-03,16
90a718d7e2d5f1525e7fc3631ca24e96,Shape Of You,Ed Sheeran,artist:ed track:shape of you,7qiZfU4dY1lWllzX7mPBI3,1,2017-01-28,55
