pos,title,artist,last_pos,peak_pos,streak,spotify_id
1,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,1,23,6rPO02ozF3bM7NnOV4h6s2
2,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",2,1,8,1jYiIOC5d6soxkJP81fxq2
3,That's What I Like,Bruno Mars,3,1,23,0KKkJNfGyhkQ5aFogxQAPU
4,Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,-1,4,1,45XhKYRRkyeqoW3teSOkCM
5,Shape Of You,Ed Sheeran,4,1,24,7qiZfU4dY1lWllzX7mPBI3
6,Humble.,Kendrick Lamar,5,1,12,7KXjTSCq5nL1LoYtL7XAwS
7,Mask Off,Future,6,5,18,0VgkVdmE4gld66l8iyGjgx
8,Congratulations,Post Malone Featuring Quavo,9,8,26,3a1lNhkSLSkpJE4MSHpDu9
9,Something Just Like This,The Chainsmokers & Coldplay,7,3,18,1dNIEtp7AY3oDAKCGg2XkH
10,Stay,Zedd & Alessia Cara,8,7,17,6uBhi9gBXWjanegOb2Phh0
11,Believer,Imagine Dragons,15,11,20,1NtIMM4N0cFa1dNzN15chl
12,XO TOUR Llif3,Lil Uzi Vert,10,7,13,7GX5flRQZVHRAGd6B4TmDO
13,Body Like A Back Road,Sam Hunt,11,6,21,7mldq42yDuxiUNn08nvzHO
14,Redbone,Childish Gambino,14,14,29,3kxfsdsCpFgN412fpnW85Y
15,Issues,Julia Michaels,13,11,22,7vu0JkJh0ldukEYbTVcqd0
16,Unforgettable,French Montana Featuring Swae Lee,18,16,11,3B54sVLJ402zGa6Xm4YGNe
17,Say You Won't Let Go,James Arthur,12,11,35,5uCax9HTNlzGybIStD3vDh
18,It Ain't Me,Kygo x Selena Gomez,17,10,19,12GEpg2XOPyqk03JZEZnJs
19,There's Nothing Holdin' Me Back,Shawn Mendes,19,18,9,7JJmb5XwzOO8jgpou264Ml
20,Bad Liar,Selena Gomez,23,20,6,2fZQIJew3nkNe99s2PKzul
21,Now Or Never,Halsey,20,20,11,7i2DJ88J7jQ8K7zqFX2fW8
22,Malibu,Miley Cyrus,25,10,7,2habSXqcJGExM6JJyskY7O
23,Castle On The Hill,Ed Sheeran,21,6,24,6PCUP3dWmTjcTtXY02oFdT
24,Slow Hands,Niall Horan,24,24,8,27vTihlWXiz9f9lJM3XGVU
25,Attention,Charlie Puth,27,25,9,4iLqG9SeJSnt0cSPICSjxv
26,iSpy,KYLE Featuring Lil Yachty,22,4,26,2EEeOnHehOozLq4aS0n6SL
27,Rolex,Ayo & Teo,26,20,19,0pSBuHjILhNEo55xK1zrRt
28,2U,David Guetta Featuring Justin Bieber,16,16,2,762UXiwEHYY97VL45sAUPR
29,Magnolia,Playboi Carti,33,29,8,1e1JKLEDKP7hEQzJfNAgPl
30,Location,Khalid,28,16,24,152lZdxL1OR0ZMW6KquMif
31,Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,30,29,14,6kex4EBAj0WHXDKZMEJaaF
32,In Case You Didn't Know,Brett Young,31,19,20,10M2Ex445zw585Ducldzkw
33,Closer,The Chainsmokers Featuring Halsey,34,1,47,7BKLCZ1jbUBVqRi2FVlTVw
34,Strip That Down,Liam Payne Featuring Quavo,44,34,5,4Ro98RCK90oHqqSZUnTFq5
35,Slippery,Migos Featuring Gucci Mane,36,35,13,6p8NuHm8uCGnn2Dtbtf7zE
36,DNA.,Kendrick Lamar,32,4,10,6HZILIRieu8S0iqY8kIKhj
