title,artist,query,spotify_id
God's Plan,Drake,artist:drake track:god's plan,
Perfect,Ed Sheeran,artist:ed track:perfect,
Havana,Camila Cabello Featuring Young Thug,artist:camila track:havana,
Rockstar,Post Malone Featuring 21 Savage,artist:post track:rockstar,
Finesse,Bruno Mars & Cardi B,artist:bruno track:finesse,
Bad At Love,Halsey,artist:halsey track:bad at love,
Diplomatic Immunity,Drake,artist:drake track:diplomatic immunity,
New Rules,Dua Lipa,artist:dua track:new rules,
Thunder,Imagine Dragons,artist:imagine track:thunder,
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,artist:g-eazy track:no limit,
MotorSport,"Migos, Nicki Minaj & Cardi B","artist:migos, track:motorsport",
Meant To Be,Bebe Rexha & Florida Georgia Line,artist:bebe track:meant to be,
Too Good At Goodbyes,Sam Smith,artist:sam track:too good at goodbyes,
Let You Down,NF,artist:nf track:let you down,
Love.,Kendrick Lamar Featuring Zacari,artist:kendrick track:love.,
Him & I,G-Eazy & Halsey,artist:g-eazy track:him & i,
Gucci Gang,Lil Pump,artist:lil track:gucci gang,
Gummo,6ix9ine,artist:6ix9ine track:gummo,
I Fall Apart,Post Malone,artist:post track:i fall apart,
Bartier Cardi,Cardi B Featuring 21 Savage,artist:cardi track:bartier cardi,
How Long,Charlie Puth,artist:charlie track:how long,
Shape Of You,Ed Sheeran,artist:ed track:shape of you,
Bodak Yellow (Money Moves),Cardi B,artist:cardi track:bodak yellow ,
I Get The Bag,Gucci Mane Featuring Migos,artist:gucci track:i get the bag,
Feel It Still,Portugal. The Man,artist:portugal. track:feel it still,
Wolves,Selena Gomez X Marshmello,artist:selena track:wolves,
Plain Jane,A$AP Ferg,artist:a$ap track:plain jane,
Believer,Imagine Dragons,artist:imagine track:believer,
Sky Walker,Miguel Featuring Travis Scott,artist:miguel track:sky walker,
End Game,Taylor Swift Featuring Ed Sheeran & Future,artist:taylor track:end game,
Roll In Peace,Kodak Black Featuring XXXTENTACION,artist:kodak track:roll in peace,
Sorry Not Sorry,Demi Lovato,artist:demi track:sorry not sorry,
Filthy,Justin Timberlake,artist:justin track:filthy,
River,Eminem Featuring Ed Sheeran,artist:eminem track:river,
Young Dumb & Broke,Khalid,artist:khalid track:young dumb & broke,
Marry Me,Thomas Rhett,artist:thomas track:marry me,
Never Be The Same,Camila Cabello,artist:camila track:never be the same,
Lights Down Low,MAX Featuring gnash,artist:max track:lights down low,
Ric Flair Drip,Offset & Metro Boomin,artist:offset track:ric flair drip,
Lemon,N*E*R*D & Rihanna,artist:nerd track:lemon,
What Lovers Do,Maroon 5 Featuring SZA,artist:maroon track:what lovers do,
