id,title,artist,query,spotify_id,peak_pos,peak_week,streak,debut_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
49291a07f72abaa89b9d3c79aa2efa10,Perfect,Ed Sheeran,artist:ed track:perfect,0tgVpDi06FyKpA1z0VMD4v,1,2017-12-23,22,2017,0.599000,0.448000,8.000000,-6.312000,1.000000,0.023200,0.163000,0.000000,0.106000,0.168000,95.050000,263400.000000,3.000000
7e78772ae73816be5ef01b9f5d5a337e,Havana,Camila Cabello Featuring Young Thug,artist:camila track:havana,1rfofaqEpACxVEHIZBJe6W,1,2018-01-27,24,2017,0.765000,0.523000,2.000000,-4.333000,1.000000,0.030000,0.184000,0.000036,0.132000,0.394000,104.988000,217307.000000,4.000000
ff6c3c8796d602897fd02b5effa6c043,Rockstar,Post Malone Featuring 21 Savage,artist:post track:rockstar,1OmcAT5Y8eg5bUPv9qJT4R,1,2017-10-28,19,2017,0.580000,0.531000,5.000000,-6.631000,0.000000,0.077600,0.128000,0.000127,0.143000,0.141000,159.786000,218320.000000,4.000000
493a45dcf0fab71f110786e4c6353626,Bad At Love,Halsey,artist:halsey track:bad at love,7y9iMe8SOB6z3NoHE2OfXl,5,2018-01-27,21,2017,0.675000,0.736000,0.000000,-3.604000,1.000000,0.030200,0.060000,0.000000,0.087900,0.607000,118.369000,181279.000000,4.000000
cf6195dfb7632548ecf72f8ef674725e,Thunder,Imagine Dragons,artist:imagine track:thunder,5VnDkUNyX6u5Sk0yZiP8XB,4,2017-12-02,39,2017,0.604000,0.826000,0.000000,-4.804000,1.000000,0.043400,0.007820,0.150000,0.154000,0.241000,167.985000,187147.000000,4.000000
d003748d0e92761b4ce1bad331121eca,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,artist:g-eazy track:no limit,2Xqd0wUttjueBfdcltADOv,4,2018-01-06,20,2017,0.838000,0.771000,1.000000,-3.791000,1.000000,0.244000,0.011700,0.000000,0.085300,0.405000,175.957000,245387.000000,4.000000
075df0973bdf820091d1d71629ae5e93,Too Good At Goodbyes,Sam Smith,artist:sam track:too good at goodbyes,3VlbOrM6nYPprVvzBZllE5,4,2017-11-25,20,2017,0.661000,0.373000,5.000000,-8.249000,1.000000,0.050500,0.615000,0.000000,0.177000,0.523000,91.500000,201000.000000,4.000000
4dd9466bd8e32948eb92f499c83a3a22,Gucci Gang,Lil Pump,artist:lil track:gucci gang,43ZyHQITOjhciSUUNPVRHc,3,2017-12-02,20,2017,0.936000,0.523000,5.000000,-6.710000,1.000000,0.059700,0.239000,0.000000,0.117000,0.699000,119.889000,124056.000000,4.000000
90a718d7e2d5f1525e7fc3631ca24e96,Shape Of You,Ed Sheeran,artist:ed track:shape of you,7qiZfU4dY1lWllzX7mPBI3,1,2017-01-28,55,2017,0.825000,0.652000,1.000000,-3.183000,0.000000,0.080200,0.581000,0.000000,0.093100,0.931000,95.977000,233713.000000,4.000000
4b411960454282930ff01e593ea0d80b,Bodak Yellow (Money Moves),Cardi B,artist:cardi track:bodak yellow ,2771LMNxwf62FTAdpJMQfM,1,2017-10-07,30,2017,0.929000,0.723000,11.000000,-5.792000,0.000000,0.109000,0.067200,0.000000,0.346000,0.458000,125.022000,223962.000000,4.000000
04f8fd7c042fb072c4be572fa65ef47c,Feel It Still,Portugal. The Man,artist:portugal. track:feel it still,6QgjcU0zLnzq5OrUoSZ3OK,4,2017-11-04,32,2017,0.801000,0.795000,1.000000,-5.115000,0.000000,0.050400,0.041700,0.000113,0.071700,0.754000,79.028000,163253.000000,4.000000
